time,data1
2370.0,-1683
2385.0,-1390
2400.0,831
2415.0,-276
2430.0,-2453
2445.0,-21
2460.0,1706
2475.0,-329
2490.0,-1952
2505.0,-1329
2520.0,1604
2535.0,566
2550.0,-488
2565.0,-1951
2580.0,2263
2595.0,2544
2610.0,-2113
2625.0,-1208
2640.0,2566
2655.0,-622
2670.0,-539
2685.0,-1531
2700.0,1669
2715.0,-1668
2730.0,-418
2745.0,-1620
2760.0,4403
2775.0,-1321
2790.0,-2106
2805.0,-2266
2820.0,703
2835.0,11
2850.0,-2458
2865.0,-972
2880.0,2531
2895.0,-777
2910.0,1057
2925.0,-2842
2940.0,1884
2955.0,-894
2970.0,-1547
2985.0,-450
3000.0,1554
3015.0,-379
3030.0,-1876
3045.0,-1382
3060.0,1968
3075.0,-29
3090.0,-1548
3105.0,-735
3120.0,3182
3135.0,-851
3150.0,-1856
3165.0,-403
3180.0,3103
3195.0,-1347
3210.0,2481
3225.0,-2203
3240.0,2472
3255.0,-1622
3270.0,-2232
3285.0,1107
3300.0,3175
3315.0,-2585
3330.0,-1368
3345.0,-1961
3360.0,2911
3375.0,-1746
3390.0,-1906
3405.0,-2229
3420.0,1434
3435.0,433
3450.0,-1199
3465.0,-1671
3480.0,675
3495.0,-42
3510.0,-1170
3525.0,-1674
3540.0,3076
3555.0,-167
3570.0,-1052
3585.0,-1264
3600.0,3152
3615.0,-2351
3630.0,-1427
3645.0,-2432
3660.0,4160
3675.0,-2352
3690.0,-1578
3705.0,-1617
3720.0,1890
3735.0,-41
3750.0,-831
3765.0,-656
3780.0,2213
3795.0,-39
3810.0,-1442
3825.0,2316
3840.0,-32
3855.0,-2587
3870.0,-1851
3885.0,-1237
3900.0,1160
3915.0,-4
3930.0,-2818
3945.0,-295
3960.0,3046
3975.0,-64
3990.0,-154
4005.0,-1212
4020.0,2134
4035.0,-896
4050.0,-1632
4065.0,-2075
4080.0,2053
4095.0,-1868
4110.0,1087
4125.0,-1208
4140.0,874
4155.0,-2639
4170.0,-2597
4185.0,-295
4200.0,801
4215.0,-158
4230.0,-1304
4245.0,-262
4260.0,4349
4275.0,-1203
4290.0,-2377
4305.0,-47
4320.0,2888
4335.0,-410
4350.0,-1709
4365.0,-449
4380.0,1379
4395.0,65
4410.0,-1383
4425.0,-2107
4440.0,6360
4455.0,-1519
4470.0,-784
4485.0,-990
4500.0,611
4515.0,-1555
4530.0,-983
4545.0,-280
4560.0,2270
4575.0,-2583
4590.0,-2124
4605.0,-1249
4620.0,3405
4635.0,93
4650.0,-159
4665.0,-2056
4680.0,3470
4695.0,-1905
4710.0,-554
4725.0,-296
4740.0,3082
4755.0,-1357
4770.0,-541
4785.0,245
4800.0,1205
4815.0,-201
4830.0,-1586
4845.0,-2135
4860.0,1992
4875.0,-697
4890.0,-1690
4905.0,-860
4920.0,2728
4935.0,731
4950.0,-1135
4965.0,-1408
4980.0,1977
4995.0,-85
5010.0,900
5025.0,-136
5040.0,2979
5055.0,798
5070.0,-1870
5085.0,-1342
5100.0,2382
5115.0,-1776
5130.0,-1804
5145.0,-1035
5160.0,3587
5175.0,-715
5190.0,-1358
5205.0,-2093
5220.0,2555
5235.0,18
5250.0,-634
5265.0,-749
5280.0,3185
5295.0,-1937
5310.0,432
5325.0,-553
5340.0,1120
5355.0,171
5370.0,-2566
5385.0,-644
5400.0,3275
5415.0,-241
5430.0,-2178
5445.0,-1195
5460.0,1867
5475.0,-1323
5490.0,-959
5505.0,-1242
5520.0,697
5535.0,-377
5550.0,-718
5565.0,-1408
5580.0,2901
5595.0,-1378
5610.0,-909
5625.0,-1806
5640.0,1940
5655.0,-2093
5670.0,1976
5685.0,-1000
5700.0,2177
5715.0,-628
5730.0,-501
5745.0,-2282
5760.0,4600
5775.0,171
5790.0,-1651
5805.0,-2007
5820.0,841
5835.0,-548
5850.0,-84
5865.0,-1163
5880.0,1806
5895.0,-1954
5910.0,134
5925.0,-1359
5940.0,3578
5955.0,-1648
5970.0,-2378
5985.0,-39
6000.0,2059
6015.0,101
6030.0,-1368
6045.0,242
6060.0,4406
6075.0,-454
6090.0,-2718
6105.0,-2872
6120.0,1270
6135.0,1153
6150.0,-2752
6165.0,-1295
6180.0,1877
6195.0,-2859
6210.0,1204
6225.0,-427
6240.0,1001
6255.0,-445
6270.0,-901
6285.0,1677
6300.0,2362
6315.0,-1866
6330.0,-2075
6345.0,-1476
6360.0,1645
6375.0,-320
6390.0,-1347
6405.0,-2469
6420.0,1330
6435.0,-1502
6450.0,-2641
6465.0,-1777
6480.0,2113
6495.0,-1455
6510.0,108
6525.0,-135
6540.0,3296
6555.0,-11
6570.0,-630
6585.0,-1104
6600.0,2563
6615.0,-1990
6630.0,-1523
6645.0,-684
6660.0,2165
6675.0,-2731
6690.0,-850
6705.0,-1733
6720.0,1569
6735.0,258
6750.0,-2856
6765.0,-353
6780.0,1228
6795.0,-2550
6810.0,-1143
6825.0,-2845
6840.0,2802
6855.0,-28
6870.0,-1112
6885.0,341
6900.0,4650
6915.0,-2846
6930.0,-898
6945.0,-1778
6960.0,4398
6975.0,-985
6990.0,-1275
7005.0,-818
7020.0,1870
7035.0,1287
7050.0,53
7065.0,-344
7080.0,954
7095.0,-2333
7110.0,-491
7125.0,-2493
7140.0,1130
7155.0,-800
7170.0,-696
7185.0,121
7200.0,1638
7215.0,-1273
7230.0,-1416
7245.0,-874
7260.0,3562
7275.0,-775
7290.0,-146
7305.0,-1508
7320.0,2695
7335.0,-567
7350.0,-2158
7365.0,-1857
7380.0,1053
7395.0,-1667
7410.0,455
7425.0,-1734
7440.0,3032
7455.0,-273
7470.0,-2184
7485.0,1102
7500.0,2391
7515.0,2124
7530.0,-487
7545.0,-832
7560.0,4030
7575.0,-137
7590.0,-2026
7605.0,-658
7620.0,2498
7635.0,33
7650.0,-1481
7665.0,-2341
7680.0,1565
7695.0,-1982
7710.0,-1239
7725.0,-1378
7740.0,566
7755.0,-758
7770.0,-2337
7785.0,-1728
7800.0,2151
7815.0,-1920
7830.0,-2778
7845.0,15
7860.0,2667
7875.0,476
7890.0,-778
7905.0,656
7920.0,1963
7935.0,-582
7950.0,-1997
7965.0,-2165
7980.0,1686
7995.0,-1467
8010.0,-984
8025.0,-1268
8040.0,1670
8055.0,-57
8070.0,-1928
8085.0,-1
8100.0,2969
8115.0,-771
8130.0,2680
8145.0,-1244
8160.0,1781
8175.0,-1855
8190.0,-358
8205.0,-262
8220.0,2074
8235.0,-468
8250.0,-1115
8265.0,-1557
8280.0,2863
8295.0,-2424
8310.0,-603
8325.0,-199
8340.0,1831
8355.0,-1833
8370.0,-743
8385.0,937
8400.0,2999
8415.0,-1023
8430.0,-275
8445.0,-1104
8460.0,4247
8475.0,-602
8490.0,-800
8505.0,-278
8520.0,972
8535.0,-882
8550.0,-3198
8565.0,-954
8580.0,955
8595.0,-3498
8610.0,300
8625.0,-852
8640.0,3212
8655.0,-982
8670.0,-703
8685.0,-872
8700.0,1177
8715.0,-565
8730.0,-1134
8745.0,1556
8760.0,1644
8775.0,-968
8790.0,-2144
8805.0,-2599
8820.0,1499
8835.0,-1245
8850.0,-2763
8865.0,-1728
8880.0,1520
8895.0,-245
8910.0,-645
8925.0,-1070
8940.0,2148
8955.0,-2093
8970.0,-89
8985.0,-999
9000.0,764
9015.0,-732
9030.0,-2461
9045.0,-2521
9060.0,4148
9075.0,-2722
9090.0,-291
9105.0,-1816
9120.0,1495
9135.0,491
9150.0,-2824
9165.0,-1320
9180.0,2068
9195.0,-1225
9210.0,-1624
9225.0,-1612
9240.0,2616
9255.0,-2265
9270.0,-2609
9285.0,-948
9300.0,3059
9315.0,-1858
9330.0,-760
9345.0,-1069
9360.0,6898
9375.0,-2547
9390.0,-2407
9405.0,-1107
9420.0,2588
9435.0,-52
9450.0,-929
9465.0,-2248
9480.0,2261
9495.0,-1102
9510.0,711
9525.0,-1157
9540.0,1975
9555.0,-2116
9570.0,-1555
9585.0,1166
9600.0,2093
9615.0,-2479
9630.0,-1708
9645.0,-1104
9660.0,4240
9675.0,-2021
9690.0,-18
9705.0,-23
9720.0,3405
9735.0,1068
9750.0,-1809
9765.0,-1147
9780.0,2423
9795.0,-1209
9810.0,-529
9825.0,-213
9840.0,1154
9855.0,-937
9870.0,-1194
9885.0,767
9900.0,3416
9915.0,-365
9930.0,-1824
9945.0,-1766
9960.0,3045
9975.0,2616
9990.0,-721
10005.0,-976
10020.0,3378
10035.0,-768
10050.0,-904
10065.0,-147
10080.0,1912
10095.0,-701
10110.0,-1548
10125.0,-1354
10140.0,869
10155.0,-1904
10170.0,-1008
10185.0,-740
10200.0,937
10215.0,-2317
10230.0,-1577
10245.0,-1693
10260.0,2109
10275.0,-1688
10290.0,-232
10305.0,-2012
10320.0,1521
10335.0,546
10350.0,-3250
10365.0,-718
10380.0,174
10395.0,-3321
10410.0,-1983
10425.0,-2209
10440.0,2904
10455.0,-2700
10470.0,-2711
10485.0,-1381
10500.0,1500
10515.0,-1640
10530.0,-1947
10545.0,-1234
10560.0,2195
10575.0,-2118
10590.0,1431
10605.0,-2534
10620.0,2342
10635.0,201
10650.0,-975
10665.0,-1910
10680.0,837
10695.0,-392
10710.0,-1394
10725.0,-1691
10740.0,1790
10755.0,-899
10770.0,-73
10785.0,-1154
10800.0,1736
10815.0,-1600
10830.0,-2798
10845.0,-327
10860.0,3961
10875.0,-2102
10890.0,-1635
10905.0,-441
10920.0,1429
10935.0,417
10950.0,-1779
10965.0,-229
10980.0,555
10995.0,-1189
11010.0,-520
11025.0,5
11040.0,1492
11055.0,-769
11070.0,-1639
11085.0,-347
11100.0,2334
11115.0,-933
11130.0,-2818
11145.0,-1075
11160.0,3048
11175.0,-2510
11190.0,-2254
11205.0,1113
11220.0,2952
11235.0,1028
11250.0,-2306
11265.0,-1782
11280.0,1884
11295.0,-1989
11310.0,-849
11325.0,-1223
11340.0,971
11355.0,-784
11370.0,-431
11385.0,-929
11400.0,3077
11415.0,-2750
11430.0,-794
11445.0,-2935
11460.0,4625
11475.0,-572
11490.0,-931
11505.0,-1062
11520.0,1476
11535.0,1502
11550.0,-190
11565.0,73
11580.0,2606
11595.0,-1949
11610.0,118
11625.0,-646
11640.0,3094
11655.0,-1179
11670.0,-1260
11685.0,274
11700.0,2996
11715.0,-2302
11730.0,-1240
11745.0,-1622
11760.0,4460
11775.0,-467
11790.0,-1242
11805.0,-1756
11820.0,5643
11835.0,-360
11850.0,-2288
11865.0,-361
11880.0,2819
11895.0,94
11910.0,-758
11925.0,-1966
11940.0,3347
11955.0,-1390
11970.0,-894
11985.0,-1454
12000.0,2908
12015.0,-2489
12030.0,-1422
12045.0,-1381
12060.0,4383
12075.0,-73
12090.0,-2330
12105.0,-2348
12120.0,2098
12135.0,-1184
12150.0,-2308
12165.0,-1867
12180.0,1540
12195.0,-2888
12210.0,164
12225.0,-919
12240.0,526
12255.0,-1939
12270.0,-2429
12285.0,-1187
12300.0,2861
12315.0,-1306
12330.0,-171
12345.0,-2852
12360.0,3074
12375.0,-2335
12390.0,-1548
12405.0,-2706
12420.0,2387
12435.0,2884
12450.0,-1795
12465.0,-972
12480.0,1296
12495.0,-2167
12510.0,842
12525.0,-845
12540.0,2966
12555.0,-1951
12570.0,-1499
12585.0,737
12600.0,2908
12615.0,-2685
12630.0,-838
12645.0,-2222
12660.0,4541
12675.0,-353
12690.0,39
12705.0,14
12720.0,2303
12735.0,496
12750.0,-2092
12765.0,-325
12780.0,1790
12795.0,-1065
12810.0,-612
12825.0,-2169
12840.0,3372
12855.0,-146
12870.0,-1675
12885.0,-1168
12900.0,1486
12915.0,-2671
12930.0,-2112
12945.0,-991
12960.0,2485
12975.0,-2233
12990.0,89
13005.0,96
13020.0,707
13035.0,-1978
13050.0,1243
13065.0,-2534
13080.0,2155
13095.0,-2282
13110.0,-352
13125.0,-1121
13140.0,1594
13155.0,-2069
13170.0,-1248
13185.0,578
13200.0,1759
13215.0,-1329
13230.0,-515
13245.0,-2426
13260.0,3335
13275.0,-1176
13290.0,-1757
13305.0,94
13320.0,3399
13335.0,-430
13350.0,-1525
13365.0,-2197
13380.0,1939
13395.0,-1835
13410.0,-519
13425.0,-2636
13440.0,1595
13455.0,-1243
13470.0,-2825
13485.0,-1358
13500.0,2203
13515.0,-964
13530.0,-81
13545.0,125
13560.0,2088
13575.0,-561
13590.0,-91
13605.0,-1458
13620.0,799
13635.0,-1024
13650.0,-2514
13665.0,2787
13680.0,210
13695.0,-2736
13710.0,-1124
13725.0,-1241
13740.0,1871
13755.0,-283
13770.0,-776
13785.0,-1246
13800.0,1402
13815.0,-873
13830.0,-25
13845.0,-1014
13860.0,3824
13875.0,90
13890.0,-251
13905.0,-366
13920.0,1445
13935.0,-1967
13950.0,-1035
13965.0,-2129
13980.0,1901
13995.0,-1145
14010.0,-542
14025.0,-423
14040.0,3288
14055.0,-1294
14070.0,-2561
14085.0,-490
14100.0,576
14115.0,-2630
14130.0,-1667
14145.0,-2017
14160.0,3751
14175.0,-202
14190.0,-1526
14205.0,-2018
14220.0,1519
14235.0,295
14250.0,-1537
14265.0,-1234
14280.0,5951
14295.0,-2015
14310.0,1006
14325.0,-1829
14340.0,3012
14355.0,-2439
14370.0,-1747
14385.0,480
14400.0,2578
14415.0,-478
14430.0,-461
14445.0,-1345
14460.0,4203
14475.0,-2478
14490.0,-659
14505.0,-100
14520.0,902
14535.0,1098
14550.0,-2594
14565.0,-252
14580.0,1703
14595.0,-2696
14610.0,-1172
14625.0,-949
14640.0,794
14655.0,-236
14670.0,-2032
14685.0,472
14700.0,1269
14715.0,-1205
14730.0,46
14745.0,-276
14760.0,4518
14775.0,-2532
14790.0,143
14805.0,-646
14820.0,622
14835.0,846
14850.0,-2687
14865.0,-1250
14880.0,842
14895.0,1357
14910.0,-522
14925.0,-595
14940.0,2812
14955.0,-1940
14970.0,-2467
14985.0,-1071
15000.0,2676
15015.0,-1188
15030.0,-2775
15045.0,-1918
15060.0,3050
15075.0,-657
15090.0,-1492
15105.0,-1110
15120.0,1397
15135.0,-1431
15150.0,-753
15165.0,-1661
15180.0,645
15195.0,-718
15210.0,145
15225.0,-1081
15240.0,2492
15255.0,-1754
15270.0,-2233
15285.0,851
15300.0,659
15315.0,-327
15330.0,-2035
15345.0,-932
15360.0,1838
15375.0,-2600
15390.0,-129
15405.0,-2061
15420.0,3284
15435.0,268
15450.0,-2457
15465.0,-145
15480.0,3027
15495.0,-1649
15510.0,4242
15525.0,-2737
15540.0,3132
15555.0,-1409
15570.0,-806
15585.0,768
15600.0,1653
15615.0,-111
15630.0,-1765
15645.0,-2571
15660.0,2186
15675.0,-137
15690.0,-1462
15705.0,172
15720.0,2094
15735.0,1044
15750.0,-768
15765.0,-1132
15780.0,681
15795.0,-1976
15810.0,54
15825.0,-2685
15840.0,925
15855.0,-1465
15870.0,-397
15885.0,-650
15900.0,661
15915.0,-1736
15930.0,-2435
15945.0,-232
15960.0,4533
15975.0,-1011
15990.0,-2714
16005.0,-2809
16020.0,2334
16035.0,-1094
16050.0,-1634
16065.0,-905
16080.0,1753
16095.0,-125
16110.0,-447
16125.0,1165
16140.0,2239
16155.0,-1108
16170.0,-2397
16185.0,-456
16200.0,700
16215.0,-1452
16230.0,-635
16245.0,-767
16260.0,2343
16275.0,-2087
16290.0,-2447
16305.0,-2775
16320.0,517
16335.0,-1199
16350.0,-236
16365.0,-527
16380.0,1734
16395.0,-2787
16410.0,-1451
16425.0,-98
16440.0,2051
16455.0,-1869
16470.0,-2620
16485.0,-952
16500.0,2471
16515.0,-1584
16530.0,-2253
16545.0,-2119
16560.0,3680
16575.0,-1291
16590.0,-117
16605.0,-580
16620.0,2034
16635.0,572
16650.0,-967
16665.0,-142
16680.0,2803
16695.0,-2798
16710.0,605
16725.0,-4
16740.0,6303
16755.0,-2359
16770.0,-2828
16785.0,283
16800.0,2070
16815.0,-1648
16830.0,-1234
16845.0,-1008
16860.0,2765
16875.0,-2545
16890.0,-42
16905.0,-851
16920.0,3616
16935.0,1091
16950.0,-41
16965.0,-123
16980.0,1674
16995.0,-132
17010.0,-131
17025.0,-1697
17040.0,2404
17055.0,-685
17070.0,-912
17085.0,-1278
17100.0,914
17115.0,-504
17130.0,-2812
17145.0,-1032
17160.0,2669
17175.0,-1764
17190.0,168
17205.0,-1246
17220.0,1367
17235.0,-204
17250.0,-972
17265.0,-1047
17280.0,2835
17295.0,-127
17310.0,-1225
17325.0,-1631
17340.0,1867
17355.0,2140
17370.0,-1252
17385.0,-935
17400.0,1056
17415.0,-2383
17430.0,-2330
17445.0,-2263
17460.0,1881
17475.0,-528
17490.0,110
17505.0,-1098
17520.0,1947
17535.0,-1811
17550.0,-558
17565.0,-1955
17580.0,729
17595.0,-1920
17610.0,929
17625.0,-2631
17640.0,858
17655.0,-2904
17670.0,-998
17685.0,894
17700.0,1121
17715.0,-171
17730.0,-157
17745.0,-879
17760.0,1890
17775.0,-1189
17790.0,-1500
17805.0,381
17820.0,2314
17835.0,1104
17850.0,-2469
17865.0,-1880
17880.0,2304
17895.0,-212
17910.0,-663
17925.0,-2456
17940.0,2181
17955.0,-1224
17970.0,637
17985.0,-1001
18000.0,1807
18015.0,-626
18030.0,-1916
18045.0,-3211
18060.0,3152
18075.0,-2206
18090.0,-1842
18105.0,-630
18120.0,1961
18135.0,962
18150.0,-1258
18165.0,-1261
18180.0,1872
18195.0,-963
18210.0,-340
18225.0,-617
18240.0,2235
18255.0,-2219
18270.0,-106
18285.0,-13
18300.0,1503
18315.0,-2268
18330.0,-1751
18345.0,-2038
18360.0,2319
18375.0,-33
18390.0,-2831
18405.0,-1580
18420.0,786
18435.0,-284
18450.0,-975
18465.0,-1965
18480.0,2025
18495.0,-2722
18510.0,443
18525.0,-2139
18540.0,1136
18555.0,-2844
18570.0,-42
18585.0,1986
18600.0,52
18615.0,-2889
18630.0,-1614
18645.0,-292
18660.0,2603
18675.0,-990
18690.0,-1502
18705.0,205
18720.0,2688
18735.0,-799
18750.0,-2377
18765.0,-1345
18780.0,3299
18795.0,-789
18810.0,-157
18825.0,-1797
18840.0,3170
18855.0,-2480
18870.0,-1047
18885.0,988
18900.0,1846
18915.0,-1194
18930.0,-1741
18945.0,-3015
18960.0,4463
18975.0,-1673
18990.0,-681
19005.0,-2126
19020.0,2003
19035.0,-829
19050.0,-212
19065.0,-1435
19080.0,1940
19095.0,-1410
19110.0,-1098
19125.0,-1749
19140.0,961
19155.0,-2388
19170.0,-283
19185.0,-504
19200.0,6156
19215.0,-2764
19230.0,-553
19245.0,-1362
19260.0,2217
19275.0,-2648
19290.0,-2115
19305.0,-1402
19320.0,1013
19335.0,659
19350.0,-1165
19365.0,43
19380.0,2522
19395.0,-1112
19410.0,-1370
19425.0,-2285
19440.0,2437
19455.0,-1331
19470.0,-197
19485.0,-604
19500.0,1746
19515.0,-1622
19530.0,-2813
19545.0,-544
19560.0,1732
19575.0,-2213
19590.0,-2107
19605.0,-124
19620.0,1038
19635.0,-672
19650.0,-2576
19665.0,-966
19680.0,2996
19695.0,-240
19710.0,-971
19725.0,-2583
19740.0,624
19755.0,-1755
19770.0,-1323
19785.0,513
19800.0,914
19815.0,1025
19830.0,-2742
19845.0,-2798
19860.0,2490
19875.0,-560
19890.0,-1908
19905.0,-282
19920.0,2815
19935.0,619
19950.0,-1584
19965.0,-1798
19980.0,2417
19995.0,-557
20010.0,-824
20025.0,-1826
20040.0,1081
20055.0,-1455
20070.0,-215
20085.0,-34
20100.0,2742
20115.0,-2354
20130.0,-2584
20145.0,-2833
20160.0,3333
20175.0,-2444
20190.0,-1201
20205.0,-2247
20220.0,1406
20235.0,-1005
20250.0,-2090
20265.0,-1942
20280.0,3121
20295.0,-1696
20310.0,205
20325.0,-1034
20340.0,1355
20355.0,-961
20370.0,-221
20385.0,1183
20400.0,2897
20415.0,-2883
20430.0,492
20445.0,-3238
20460.0,1622
20475.0,-1505
20490.0,-2453
20505.0,-2057
20520.0,673
20535.0,157
20550.0,-2276
20565.0,-2467
20580.0,2933
20595.0,-925
20610.0,587
20625.0,-2465
20640.0,2604
20655.0,-1283
20670.0,-1469
20685.0,1090
20700.0,836
20715.0,-602
20730.0,-828
20745.0,-2547
20760.0,3341
20775.0,-514
20790.0,-1271
20805.0,-426
20820.0,2277
20835.0,765
20850.0,-743
20865.0,-982
20880.0,2973
20895.0,-2852
20910.0,960
20925.0,-2143
20940.0,2068
20955.0,-2639
20970.0,-2656
20985.0,1160
21000.0,2060
21015.0,-1760
21030.0,-1648
21045.0,2206
21060.0,3145
21075.0,-2852
21090.0,-891
21105.0,-2590
21120.0,1471
21135.0,293
21150.0,-2865
21165.0,-1400
21180.0,2594
21195.0,-1678
21210.0,1078
21225.0,-2583
21240.0,3070
21255.0,-1610
21270.0,-990
21285.0,-335
21300.0,1568
21315.0,-812
21330.0,-286
21345.0,-355
21360.0,3194
21375.0,-2271
21390.0,-2105
21405.0,-2279
21420.0,1289
21435.0,440
21450.0,-1016
21465.0,-1560
21480.0,2569
21495.0,-1021
21510.0,-463
21525.0,-2835
21540.0,555
21555.0,-104
21570.0,-1886
21585.0,-1090
21600.0,2661
21615.0,-680
21630.0,-2776
21645.0,-2121
21660.0,5935
21675.0,-2144
21690.0,-2603
21705.0,-1363
21720.0,1277
21735.0,-1211
21750.0,-2666
21765.0,-223
21780.0,927
21795.0,-1640
21810.0,781
21825.0,-2494
21840.0,2795
21855.0,-1380
21870.0,-1606
21885.0,-25
21900.0,590
21915.0,1
21930.0,-886
21945.0,-2747
21960.0,2550
21975.0,-487
21990.0,-1583
22005.0,-1861
22020.0,488
22035.0,-71
22050.0,-2506
22065.0,-1061
22080.0,3122
22095.0,-399
22110.0,-1108
22125.0,-1102
22140.0,1795
22155.0,-2026
22170.0,-348
22185.0,-1008
22200.0,2518
22215.0,-467
22230.0,73
22245.0,-1172
22260.0,2881
22275.0,313
22290.0,-1562
22305.0,-493
22320.0,2400
22335.0,-1676
22350.0,-805
22365.0,-863
22380.0,3029
22395.0,-964
22410.0,-1220
22425.0,-696
22440.0,2421
22455.0,-2791
22470.0,-1300
22485.0,-1449
22500.0,2074
22515.0,-2158
22530.0,-2311
22545.0,-836
22560.0,2725
22575.0,-693
22590.0,-552
22605.0,-2169
22620.0,2380
22635.0,-648
22650.0,-2639
22665.0,-102
22680.0,3277
22695.0,-2424
22710.0,-1588
22725.0,-1293
22740.0,2140
22755.0,-150
22770.0,-1870
22785.0,1198
22800.0,3172
22815.0,-1922
22830.0,-1397
22845.0,-426
22860.0,3470
22875.0,-1618
22890.0,474
22905.0,-703
22920.0,2353
22935.0,-39
22950.0,-2342
22965.0,16
22980.0,1163
22995.0,-1120
23010.0,722
23025.0,-2296
23040.0,2587
23055.0,-2629
23070.0,-1763
23085.0,-569
23100.0,1375
23115.0,-252
23130.0,-2580
23145.0,-38
23160.0,1845
23175.0,-2744
23190.0,-378
23205.0,-1308
23220.0,2075
23235.0,-809
23250.0,-594
23265.0,-2604
23280.0,1282
23295.0,-1628
23310.0,-1460
23325.0,-2281
23340.0,3244
23355.0,-1901
23370.0,-570
23385.0,-728
23400.0,1695
23415.0,-87
23430.0,-624
23445.0,-1886
23460.0,3742
23475.0,-1333
23490.0,-2077
23505.0,3040
23520.0,37
23535.0,-651
23550.0,-2472
23565.0,-2085
23580.0,2210
23595.0,-1671
23610.0,-1285
23625.0,-1068
23640.0,1859
23655.0,-1109
23670.0,-266
23685.0,-1551
23700.0,2173
23715.0,-1961
23730.0,-537
23745.0,-822
23760.0,4598
23775.0,-1526
23790.0,-1301
23805.0,-1020
23820.0,636
23835.0,848
23850.0,-1293
23865.0,-2785
23880.0,1898
23895.0,-1290
23910.0,69
23925.0,-2657
23940.0,3299
23955.0,-1019
23970.0,-1136
23985.0,-254
24000.0,3398
24015.0,-86
24030.0,-1231
24045.0,36
24060.0,4601
24075.0,-1059
24090.0,-2075
24105.0,-1990
24120.0,3430
24135.0,-443
24150.0,-1736
24165.0,-2075
24180.0,3268
24195.0,-245
24210.0,1071
24225.0,-1957
24240.0,2340
24255.0,-856
24270.0,-2615
24285.0,717
24300.0,2802
24315.0,-852
24330.0,-185
24345.0,-431
24360.0,4192
24375.0,-1931
24390.0,-231
24405.0,-626
24420.0,2222
24435.0,-251
24450.0,-1793
24465.0,-129
24480.0,3305
24495.0,-1557
24510.0,669
24525.0,-2201
24540.0,1062
24555.0,-2141
24570.0,-553
24585.0,1267
24600.0,1820
24615.0,-1552
24630.0,-355
24645.0,-532
24660.0,4501
24675.0,-637
24690.0,-1704
24705.0,-651
24720.0,1023
24735.0,1794
24750.0,-1890
24765.0,-549
24780.0,1792
24795.0,-1922
24810.0,-1047
24825.0,-2133
24840.0,2117
24855.0,-758
24870.0,-2584
24885.0,146
24900.0,1601
24915.0,-2356
24930.0,-2684
24945.0,-595
24960.0,3235
24975.0,-2253
24990.0,-2867
25005.0,-2538
25020.0,3161
25035.0,-1600
25050.0,-1620
25065.0,-1247
25080.0,3168
25095.0,-800
25110.0,-1244
25125.0,-2704
25140.0,655
25155.0,-840
25170.0,-1843
25185.0,-984
25200.0,2506
25215.0,-2191
25230.0,-2236
25245.0,-2485
25260.0,4485
25275.0,-1925
25290.0,-566
25305.0,-1742
25320.0,2662
25335.0,-789
25350.0,1309
25365.0,-1698
